Method,MeanAccuracy,StdAccuracy,MeanMacroF1,StdMacroF1
MFCC,0.634308601985185,0.0482128276647961,0.642281659786301,0.0465412969455315
YAMNet,0.78366666315599,0.0319023744425987,0.79183209614098,0.037006366000345
